INFORME ECONOMICO VIDAL,,,,,,,
,,,,,,,
VIDAL 3849,,,,,,,
,,,,,,,
MOVIMIENTOS HASTA JUNIO 2026,,,,,,,
,,,,,,,
RUBROS,Importe U$S,Importe $,Banco U$S,Banco $,,ARS GASTADOS,USD GASTADOS
,,,,,,,
TERRENO (RESERVA Y BOLETO),-$124.250,$0,$0,$0,,-$174.310.000,-$124.250
COMISION INMOBILIARIA,-$14.200,$0,,,,-$19.880.000,-$14.200
ASESORES,$0,-$5.460.000,,,,-$5.460.000,-$3.788
HONORARIOS ARQUITECTO,-$4.000,$0,,,,-$5.600.000,-$4.000
ESCRIBANIA,-$900,$0,,,,-$1.282.500,-$900
PROYECTO Y DOCUMENTACION,$0,-$2.510.000,$0,$0,,-$2.510.000,-$1.722
DIRECCION DE OBRA,,,,,,,
APROBACION DE OBRA,,,,,,,
DEMOLICION,,,,,,,
"CERCO DE OBRA, CARTELES y GRAFICA",,,,,,,
ESTRUCTURALISTA,,,,,,,
SEGURIDAD E HIGIENE,,,,,,,
HIERROS,,,,,,,
CORRALON,,,,,,,
MATERIALES HORMIGON,,,,,,,
MANO DE OBRA HORMIGON,,,,,,,
MANO DE OBRA ALBANILERIA,,,,,,,
INSTALACION ELECTRICA,,,,,,,
INSTALACION SANITARIA - MATERIALES,,,,,,,
INSTALACION SANITARIA - MANO DE OBRA,,,,,,,
ARTEFACTOS BAÑO,,,,,,,
INSTALACION AIRES ACONDICIONADOS,,,,,,,
EQUIPAMIENTO PARA INCENDIOS,,,,,,,
YESERIA,,,,,,,
HERRERIA,,,,,,,
ASCENSORES,,,,,,,
ABERTURAS,,,,,,,
PINTURA,,,,,,,
CARPINTERIA,,,,,,,
CAMARAS DE SEGURIDAD,,,,,,,
VOLQUETES,,,,,,,
BAÑOS QUIMICOS,,,,,,,
SERENO,,,,,,,
GASTOS VARIOS,,,,,,,
IMPUESTOS Y SERVICIOS,$0,-$434.497,,,,-$434.497,-$296
LEGALES,,,,,,,
ASESORES CONTABLES,,,,,,,
SEGUROS,,,,,,,
MARKETING,,,,,,,
PAUTA PUBLICITARIA,,,,,,,
DUCTOS DE VENTILACION,,,,,,,
GASTOS BANCARIOS,,,,,,,
,,,,,,,
GASTOS,-USD 143.350," $ -8.404.497,00 ",,,," $ -209.476.997,00 ",-USD 149.155
GASTOS SIN TERRENO Y COMISION,USD 0," $ -2.944.497,00 ",,,," $ -2.944.497,00 ",-USD 2.017
FONDO COMUN INVERSION - INTERESES OBTENIDOS,,,,,,,
,,,,,,,
HONORARIOS ADMINISTRACION,,,,,,,
HONORARIOS DESARROLLADORA,,,,,,,
TOTAL HONORARIOS,,,,,,,
,,,,,,,
TOTAL TERRENO + COSTO DE OBRA + HONORARIOS,,,,,,,
,,,,,,,
CONCEPTO,,,,,,,
APORTE DE SOCIOS,USD 143.350,$ 8.404.497,,,,,
RESULTADO POR VENTA,,,,,,,
DEPOSITO BANCARIOS,,,,,,,
U$S CAMBIO,,,,,,,
GASTOS PAGADOS ,,,,,,,
CHEQUES PENDIENTES DE DEBITO,,,,,,,
SALDOS,USD0,$0,,,,,
