Proyección Estimada de Pagos a realizar desde Julio 2026 Hasta Diciembre 2026,,,,,,,,,,,,
,,,,Valor Dólar Estimado,1470,,,,,,,
ITEM,Tarea,Pagos hasta DEC 26 $,,Total en U$S,,ABONADO,ABONADO USD,CONTRATO ESTIMADO,CONTRATO ESTIMADO USD,,PAGOS MÁS IVA,PAGOS EFECTIVO
,,,,,,,,,,,,
ESCRITURACION TERRENO (AGOSTO),,"$339,202,500",,"USD230,750.00",,,,,,,,"USD230,750.00"
ESCRIBANO,,"$9,684,221",,"USD6,587.91",,,,,,,,"USD6,587.91"
ARQUITECTO,,"$22,050,000",,"USD15,000.00",,," $  4,000 ",," $  19,000.00 ",,,"USD15,000.00"
GESTORA,,"$2,610,000",,"USD1,775.51",," $  2,610,000.00 ",," $  5,220,000.00 ",,,,"USD1,775.51"
CONTADOR ESTIMADO,,"$1,800,000.00",,"USD1,224.49",,,,,,,,"USD1,224.49"
RENDERISTA,,"$1,800,000.00",,"USD1,224.49",,,,,,,,"USD1,224.49"
DEMOLICION ESTIMADO,,"$35,000,000.00",,"USD23,809.52",,,,,,,,
OTROS NO CONTEMPLADOS ESTIMADOS,,"$10,000,000.00",,"USD6,802.72",,,,,,,,
APROBACION DEL PROYECTO (DERECHO DE CONSTRUCCION Y OTROS),,?,,?,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Impuestos y Servicios,,,,,,,,,,,,
AUTONOMOS,,"$849,358.00",,USD577.79,,,,,,,,
IMPUESTOS VARIOS ESTIMADO,,"$2,500,000.00",,"USD1,700.68",,,,,,,,
,,,,,,,,,,,,
Administracion,,,,,,,,,,,,
,,,,,,#REF!,,,,,,
,,,,,,,,,,,,
HONORARIOS ADMINISTRACION,,,,,,,,,,,,
ASESOR LEGAL ESTIMADO,,,,,,,,,,,,
,,,,,,,,,,,,USD577.79
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
IVA ESTIMADO,,,,,,,,,,,,
GASTOS BANCARIOS ESTIMADOS 1.2,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DISPONIBILIDAD CAJA DOLAR,,,,,,,,,,,#REF!,
DISPONIBILIDAD CAJA PESOS ,,,,,,,,,,,,
SALDO BANCO,,,,,,,,,,,USD0.00,USD0.00
Cheques emitidos pendientes de debito,,,,,,,,,,,,
,,,,,,,,,,,#REF!,"USD257,140.19"
Fondos a Aportar,,,,,,,,,,,,
,,,,USD0.00,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,#REF!,"USD257,140.19"
,,,,,,,,,,,,
,,,,,,,,,,,,
TOTAL SIN TERRENO,,,,,,,,,,,,
TOTAL,"$86,293,579.00","USD58,703.11",,,,,,,,,,
SALDO INVERSION INICIAL,"$425,496,079.00","USD289,453.11",,,,,,,,,,
,"$86,293,579.00","USD11,765.17",,,,,,,,,,
ACUERDO DE ACCIONISTAS: SE ACORDO QUE CADA PARTE VA A INVERTIR NO MAS DE 150.000 USD,,,,,,,,,,,#REF!,"USD257,140.19"
