,,,,,,,,,,,,,,,,,
,,1 - PROPUESTA DE NEGOCIO,,,,,,vidal 3849,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,vidal terreno :,,,"43,66","8,75",,"382,03",m2,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,m2,,,,,,,,
,,,,,,,,,mts.,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Edificio a construir:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Análisis de Superficies en  m2,,,,,,,,,,,,,
,,,,,,,,vendibles,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Cubierto,s/cubierto,Descubierto,,Propios ,Comunes,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bauleras,TERRENO,"8,75","43,66","382,025",
,,Pb cochera,,,"71,41",157,,,"228,41",,,,,,,,
,,Planta Baja : hall ,,"79,90",,,,,"79,90",,,COCHERAS,DESC,157,,,
,,Planta Baja : Otros,,11,,,,,11,,,,SEM/CUB,"71,41",,,
,,,,,,,,,,,,,,"228,41",,,
,,SUM,,"28,78","10,84","10,12",,"49,74",,,,,,,,,
,,TOTAL PB,,"119,68","82,25","167,12",,"49,74","319,31",,,,,,,,
,,,,,,,,,,,,,,,,,
,,Piso del 1 al 4,,,,,,,,,,,,,,,
,,depto,,"152,32","23,39",,,"175,71",,,,,,,,,
,,Nucleo,,"33,19",,,,,"33,19",,,,,,,,
,,baulera,,"2,86",,,,"2,86",,,,,,,,,
,,sub total piso,,"188,37","23,39",0,,"178,57","33,19",,,,,,,,
,,Total *4,,"753,48","93,56",,,"714,28","132,76",,,,,,,,
,,,,,,,,,,,,,,,,,
,,Terraza,,,,,,,,,,,,,,,
,,,,"33,19","15,79","141,22",,"81,03","109,2",,,,,,,,
,,,,,,,,,,,,,,,,,
,,terraza,,"33,19","15,79","141,22",,"81,03","109,2",,,,,,,,
,,,,,,,,,,,,,,,,,
,,TOTALES,,"906,35","191,60","308,34",,"845,05","561,27",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,"-30,00",Descubiertos,,,,,,,,
,,M2 Vendibles terraza,,,,"-30,00",,,,,,,,,,,
,,,,,,,,"815,05",vendibles reales,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Incidencia de comunes sobre propios sin contar cocheras,,,,"-30,00",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Cantidad de metros cuadrados vendibles con cocheras,,,,8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Cantidad de cocheras según proyecto,,,,6,,,,,,1,Cubiertos Totales,"753,48",,,a
,,,,,,,,,,,,4,Planta baja cochera,"228,41","0,00",,b
,,,,,,,,,,,,5,Planta baja hall y núcleo,"90,90",,,c
,,,,,,,,,,,,7,Terrazas /jardin,"190,20",,,d
,,,,,,,,,,,,6,PB  sum-  jardin,"49,74",,,e
,,,,,,,,,,,,,Sala de máquinas 10,"0,00",,,f
,,,,,,,,,,,,,Auxiliar Portería 1ro,,,,
,,,,,,,,,,,,2,S/ Cubiertos,"93,56",,,g
,,,,,,,,,,,,3,Descubierto,,,,h
,,,,,,,,,,,,,,,,,i
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,total,"1406,29",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,para los costos cub TOTALES,,"906,35",,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"1406,29",,,
