MODELO ECONÓMICO BASE – VIDAL 3849,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
RESUMEN DE SUPERFICIES,,,,,,,,,
,Cubiertos,Semicubiertos (al 50%),Descubiertos (al 25%),Totales,,,,,
Superficie vendible (m²),622.6,111.07,60.84,681.42,,,,,
Superficie común (m²),352.25,3.42,67.42,410.82,,,,,
Superficie a construir (m²),974.85,114.49,128.26,1112.16,,,,,
,,,,,,,,,
COSTOS,,,,,,,,,
,,x m2 totales a construir,,,,,,,
Terreno (incluye comisión y escrituración),"$381,000",-,,,,,,,
Construcción (USD/m²),1200,"$1,334,595",,,,,,,
Honorarios GAMISU,15%,"$200,189",,,,,,,
Estimación Plusvalía,,"$7,000",A confirmar,,,,,,
Imprevistos % (sobre construcción),8%,"$106,768",,,,,,,
TOTAL GASTOS,,"$2,029,552",,,,,,,
,,,,,,,,,
INGRESOS,,,,,,,,,
Venta unidades En Pozo,"$1,186,494",,M2 Vendibles Terminados,659,,,,,
   Proporcion de M2 en Pozo Vs. Terminados,62%,,,,,,,,
   M2 Totales Terminados en Pozo,409,,,,,,,,
   Valor M2 Totales Terminados,"$2,900",,,,,,,,
Venta Cocheras/Terrazas/Bauleras En Pozo,"$182,450",,,,,,,,
Venta unidades Terminadas,"$875,505",,,,,,,,
   Proporcion de M2 en Pozo Vs. Terminados,38%,,,,,,,,
   M2 Totales Terminados,250,,,,,,,,
   Valor M2 Totales Terminados,"$3,500",,,,,,,,
Venta Cocheras/Terrazas/Bauleras Terminadas,"$141,486",,,,,,,,
TOTAL ,"$2,385,935",,,,,,,,
,,,,,,,,,
Inversión inicial,,,,,,,,,
Aporte socios,"$450,000",,,,,,,,
,,,,,,,,,
FINANCIACION,,,,,,,,,
Punto de corte (USD/m2),"$2,978",,,,,,,,
Restante de inversión post-compra terreno,"$69,000",,,,,,,,
Total a recaudar para financiar la obra,"$1,379,363", ---> Total a gastar - honorarios developers - inversión inicial,,,,,,,
Total m2 a vender para financiar la obra,409,,,,,,,,
% venta en Pozo (Sin cocheras ni bauleras),72%,,,,,,,,
% venta en Pozo (Con cocheras y bauleras),62%,,,,,,,,
,,,,,,,,,
RESULTADO,,,,,,,,,
Losses,"-$2,098,552",,,,,,KPIs,,
Inversión Inicial,"-$450,000",,,,,,,,
Construcción (USD/m²),"-$1,334,595",,,,,,Precio de venta final ponderado,,"$3,128"
Imprevistos % (sobre construcción),"-$106,768",,,,,,,,
Honorarios Developers,"-$200,189",,,,,,Financiamiento requerido (venta minima de m2),,409
Estimación Plusvalía,"-$7,000",Ref,,,,,,,
Profit,"$2,385,935",,,,,,,,
Venta unidades En Pozo,"$1,186,494",,,,,,Honorarios developers,,"$200,189"
Venta Cocheras/Terrazas/Bauleras En Pozo,"$182,450",,,,,,,,
Venta unidades Terminadas,"$875,505",,,,,,Ganancia,,"$287,383"
Venta Cocheras/Terrazas/Bauleras Terminadas,"$141,486",,,,,,,,
,,,,,,,,,
Total P&L,"$287,383",,,,,,,,
