id,areaId,title,description,assignee,status,priority,dueDate,createdDate,sourceMeeting,updatedAt,
tsk-001,sociedad,Escribirle a Mariano Escribano,"Consultar por conformación de la sociedad (SA vs SRL), costos y honorarios para la firma del boleto.",Todos,en_proceso,urgente,2026-05-15,2026-04-27,2026-04-27,2026-06-09 22:24:22,
tsk-002,sociedad,Re-Confirmar Sociedad SA/SRL con Mariano,Definir si se avanza con SA o SRL. Firma tentativa entre 27 y 29 de mayo.,Todos,completada,alta,2026-05-29,2026-04-22,2026-04-22,2026-06-10 9:12:04,
tsk-003,sociedad,Seguro de Caución para la Sociedad,Contratar seguro mínimo posible: 1 millón de pesos de cobertura.,Fede,pendiente,media,2026-06-30,2026-05-28,2026-05-28,2026-06-11 20:12:51,
tsk-004,sociedad,Abrir Cuenta de Banco (Galicia),Apertura cuenta Galicia. Requieren CUIT y estatuto social.,Pascu,en_proceso,alta,2026-06-25,2026-05-28,2026-06-10,2026-06-14 23:02:55,
tsk-005,sociedad,Conversación Contable con Oscar Kusel,Reunión para analizar estrategias para bajar la carga impositiva.,Todos,en_proceso,alta,2026-06-15,2026-05-28,2026-06-03,2026-06-09 22:21:05,
tsk-006,terreno,Firma de Escritura del Terreno,Firmar la escritura del lote Vidal 3849. Valor aproximado USD 290k.,Todos,en_proceso,urgente,2026-07-15,2026-04-22,2026-05-29,,
tsk-007,terreno,Definir Préstamo vs Aporte a Sociedad,Estructura de financiamiento para la escritura (~90k USD por socio).,Todos,pendiente,alta,2026-06-30,2026-05-28,2026-05-28,,
tsk-008,arquitectura,Acomodar Línea de Frente Interno,Pedir a Rodri acomodar la línea de frente interno en los planos.,Rodri,en_proceso,alta,2026-06-15,2026-05-11,2026-05-11,,
tsk-009,arquitectura,Definir Tamaño del Ascensor,Coordinar con Rodri agrandar el hueco de ascensores.,Rodri,pendiente,media,2026-06-20,2026-04-22,2026-05-28,,
tsk-010,arquitectura,Verificar Ancho y Maniobra de Cocheras,Ajustar ancho de cochera post-estructura a 3 metros como mínimo.,Rodri,en_proceso,alta,2026-06-20,2026-04-22,2026-05-28,,
tsk-011,arquitectura,Presentar Renders de la Fachada,"Paquete renders 3-jun: 1 emblematico frente, 1 contrafrente, 1 aereo, interiores. Coordinar drone con Daro.",Rodri,completada,alta,2026-06-25,2026-04-22,2026-06-03,2026-06-11 20:13:09,
tsk-012,arquitectura,Definir Brief de Marca y Nombres,"Pascu presenta el brief con sugerencias de nombres: phi/fi, raiz, soma.",Pascu,completada,media,2026-06-03,2026-05-28,2026-06-03,,
tsk-013,arquitectura,Validar Distribución de Unidades,Analizar opciones de distribución de unidades por piso.,Todos,en_proceso,alta,2026-06-20,2026-04-15,2026-05-28,,
tsk-014,,Gestionar Previsión de Gastos y Plusvalía,"Pedir a Silvia Tejeiro previsión de gastos y liquidación del trámite de Plusvalía. Evaluar detalles terraza: pileta, separación terrazas privadas, terraza verde.
10-jun-26: Plusvalía confirmada en $0 según Silvia. Tarea completada.",Pascu,completada,alta,2026-06-20,2026-05-29,2026-06-10,2026-06-14 23:02:52,
